41,41,41,44
47,47,45,44
47,46,45,43
47,46,46,46
49,47,46,45
48,47,46,45
48,47,45,45
49,47,46,45
49,49,46,45
48,47,46,45
50,47,47,45
49,47,47,45
49,47,47,46
49,47,47,45
49,49,47,45
50,48,47,45
50,47,47,46
50,48,47,46
51,48,48,46
50,47,47,47
49,49,47,46
50,49,47,46
50,48,47,46
51,48,48,47
51,48,48,46
52,48,48,46
51,48,49,46
51,48,48,47
50,49,48,48
51,48,47,47
51,49,48,47
49,48,49,47
51,48,48,47
51,50,47,47
51,49,48,47
53,49,49,47
52,49,49,47
51,49,50,48
51,49,50,48
52,49,49,47
51,50,49,47
53,50,48,48
51,50,48,48
53,50,49,47
53,50,49,49
52,49,51,48
52,51,51,49
52,50,50,48
52,50,50,48
53,50,48,49
53,50,49,48
53,50,50,48
55,50,49,48
54,50,51,49
53,50,52,49
54,51,51,49
54,50,51,49
54,50,50,50
55,51,50,49
53,50,50,49
53,51,50,50
54,50,51,50
55,51,52,49
54,51,52,50
54,51,52,49
54,52,51,49
55,51,51,49
54,51,52,51
54,51,52,50
55,51,52,50
56,52,52,49
54,51,51,50
55,52,52,50
56,51,52,50
55,51,52,51
55,51,52,51
55,53,53,50
57,52,52,50
55,52,52,50
56,52,51,51
56,52,52,50
56,52,53,51
56,52,52,51
56,51,53,52
57,53,53,51
56,53,53,51
56,53,53,51
56,53,52,52
56,52,53,50
56,52,53,51
58,52,53,52
58,54,52,52
58,53,54,51
57,53,53,52
56,53,53,52
57,53,53,52
58,53,54,53
57,54,53,54
57,54,53,53
58,53,55,52
57,53,55,52
57,54,54,52
58,53,54,52
58,54,54,53
58,54,54,53
59,54,54,53
59,54,54,54
60,54,55,52
58,54,55,52
57,54,55,53
59,55,55,53
58,54,55,53
58,55,54,53
59,54,56,53
59,54,54,53
59,54,55,53
59,54,55,54
60,55,55,54
59,54,56,54
58,54,56,54
59,55,56,54
60,54,57,54
59,54,56,53
59,55,55,54
60,55,55,55
60,55,55,54
59,55,56,53
60,55,56,55
59,56,57,54
60,55,57,54
60,55,56,54
60,55,57,55
61,55,55,55
61,56,56,55
60,55,56,55
60,57,57,54
60,55,57,55
61,55,58,55
62,55,57,55
61,55,57,55
62,55,57,55
62,56,56,55
61,56,57,55
61,56,57,56
60,57,57,55
61,56,56,55
61,56,57,55
62,56,57,56
62,56,57,56
62,57,58,56
61,56,58,55
62,56,58,56
61,57,58,56
62,57,57,56
63,57,57,56
62,57,57,57
62,57,57,57
63,56,58,57
62,56,59,56
62,57,57,56
62,59,59,56
62,58,58,56
63,57,58,57
63,57,57,57
62,57,58,56
62,58,59,57
62,57,59,56
63,57,60,58
63,57,60,57
63,58,58,56
63,58,59,57
63,57,58,57
63,57,58,57
63,57,60,58
62,58,59,57
63,59,59,57
63,58,60,58
63,58,59,58
64,58,59,57
63,58,58,58
63,58,60,58
64,59,59,58
65,58,60,57
64,59,59,58
64,58,60,58
63,59,60,57
64,59,61,58
65,59,60,58
64,58,60,58
65,59,60,58
64,59,62,58
64,59,62,58
64,60,61,59
65,59,60,59
64,59,61,59
64,59,61,59
64,59,62,58
66,59,62,60
66,59,62,60
66,59,61,59
64,59,61,60
64,59,61,60
66,59,61,60
65,60,62,59
65,59,61,59
66,60,61,59
66,59,63,59
67,59,62,59
65,60,60,59
64,60,62,60
66,59,61,60
65,60,62,60
67,61,61,61
67,60,62,60
68,60,62,60
66,60,61,60
67,61,62,60
67,61,62,59
66,61,62,62
65,60,63,61
67,60,63,61
66,61,62,61
65,61,62,61
67,62,62,61
67,62,63,60
67,61,63,61
66,61,63,61
66,61,63,61
67,61,62,62
67,61,63,62
66,60,63,61
66,62,64,62
68,61,62,62
66,61,63,61
67,62,63,61
67,61,63,62
68,61,62,62
67,61,63,60
67,62,63,62
67,61,63,62
67,62,62,62
67,62,63,62
68,61,64,62
67,62,63,62
69,62,63,63
68,63,64,62
68,62,65,62
68,62,65,62
68,62,63,62
69,62,63,63
69,62,65,63
69,63,64,63
70,63,63,63
68,64,65,63
67,63,64,63
69,62,65,62
68,62,64,63
68,63,64,62
68,63,64,63
69,63,65,63
69,62,65,63
68,63,64,64
69,64,65,63
69,63,65,63
69,62,66,63
69,64,65,63
69,63,66,63
69,63,65,64
69,63,64,64
70,64,65,64
69,63,65,63
70,63,65,64
69,63,66,64
70,63,65,63
71,64,66,64
69,63,65,64
69,64,65,65
71,64,65,64
71,64,66,63
70,64,66,65
71,63,66,64
70,64,65,64
69,64,66,65
71,64,67,65
72,65,66,65
71,65,66,64
70,64,66,65
71,64,66,65
71,64,66,65
72,64,66,64
